Autoevaluacion   Puntaje
    TDA             1
    Constructor     1
    run             1
    add-drive       1
    register        1
    login           1
    logout          1
    switch-drive    1
    md              1
    cd              1
    add-file        0
    del             0
    rd              0
    copy            0
    move            0
    ren             0
    dir             0
    format          0
    encrypt         0
    decrypt         0
    plus-one        0
    minus-one       0
    grep            0
    view-trash      0
